Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","Buzzer","MagneticBuzzer_PUI_AT-0927-TT-6-R",118.500000,-77.750000,0.000000,top
"C1","0.1uF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",81.284590,-112.757931,90.000000,top
"C2","1uF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",76.784590,-112.757931,90.000000,top
"C3","10uF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",76.784590,-114.757931,90.000000,top
"C4","0.1uF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",91.784590,-115.882931,0.000000,top
"C5","0.1uF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",90.784590,-110.882931,0.000000,top
"C6","100nF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",73.250000,-68.750000,90.000000,top
"C7","10uF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",57.842500,-74.750000,0.000000,top
"C8","10uF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",74.250000,-68.750000,90.000000,top
"C9","22uF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",78.592500,-72.000000,180.000000,top
"C10","10uF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",131.000000,-99.250000,180.000000,top
"D1","LED","LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder",64.980000,-115.128750,90.000000,top
"D2","LED","LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder",62.480000,-115.128750,90.000000,top
"D3","LED","LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder",59.980000,-115.128750,90.000000,top
"IC1","MMC5983MA","PQFN50P450X300X100-16N",78.949590,-114.257931,-90.000000,top
"J1","Screw_Terminal_01x02","TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal",112.960000,-64.000000,0.000000,top
"J2","Screw_Terminal_01x02","TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal",124.270000,-64.000000,180.000000,top
"J5","Conn_01x02","JST_XA_B02B-XASK-1-A_1x02_P2.50mm_Vertical",63.984590,-64.145431,0.000000,top
"J6","Conn_01x24","Molex_SL_171971-0024_1x24_P2.54mm_Vertical",52.330000,-105.000000,0.000000,top
"J7","Conn_01x24","Molex_SL_171971-0024_1x24_P2.54mm_Vertical",110.764590,-80.382931,180.000000,top
"J8","Conn_Coaxial","SMA_Amphenol_132134-10_Vertical",135.250000,-65.000000,90.000000,top
"J9","Conn_Coaxial","SMA_Amphenol_132134-10_Vertical",135.000000,-92.750000,90.000000,top
"M1","Motor_Servo","PinHeader_1x03_P2.54mm_Vertical",87.000000,-67.250000,180.000000,top
"M2","Motor_Servo","PinHeader_1x03_P2.54mm_Vertical",95.750000,-67.290000,180.000000,top
"Q1","SI4925DDY-T1-GE3","SOIC127P600X175-8N",105.250000,-68.000000,0.000000,top
"Q2","MMBT3904","SOT-23",103.500000,-63.250000,180.000000,top
"Q3","MMBT3904","SOT-23",103.562500,-72.800000,180.000000,top
"R1","10K","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",100.750000,-66.567500,-90.000000,top
"R2","1K","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",106.250000,-64.000000,90.000000,top
"R3","10K","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",100.750000,-69.407500,-90.000000,top
"R4","1K","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",102.500000,-75.250000,0.000000,top
"R7","4.7k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",132.965410,-71.215410,180.000000,top
"R8","4.7k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",132.965410,-70.215410,180.000000,top
"R9","150","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",65.000000,-112.891250,-90.000000,top
"R10","150","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",62.500000,-112.891250,-90.000000,top
"R11","150","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",60.000000,-112.891250,-90.000000,top
"R14","1.2k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",80.592500,-72.000000,180.000000,top
"R15","4.7k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",76.500000,-72.000000,0.000000,top
"S1","TS04-66-70-BK-160-SMT","SW_TS04-66-70-BK-160-SMT",102.000000,-115.500000,90.000000,top
"S2","TS04-66-70-BK-160-SMT","SW_TS04-66-70-BK-160-SMT",112.000000,-115.500000,90.000000,top
"TP1","TestPoint","PinHeader_1x01_P2.54mm_Vertical",67.250000,-70.750000,0.000000,top
"TP2","TestPoint","PinHeader_1x01_P2.54mm_Vertical",61.750000,-74.000000,0.000000,top
"TP3","TestPoint","PinHeader_1x01_P2.54mm_Vertical",91.500000,-66.000000,0.000000,top
"U1","Teensy4.1","Teensy41",81.534590,-92.682931,0.000000,top
"U2","MS5607-02BA","LGA-8_3x5mm_P1.25mm",85.284590,-114.382931,180.000000,top
"U3","BMI088","PQFN50P450X300X100-16N",90.784590,-113.382931,180.000000,top
"U4","MIC29302AWD","TO-252-5_TabPin3",78.250000,-65.000000,90.000000,top
"U5","MAX-M10S","ublox_MAX",133.950000,-77.948341,90.000000,top
"U6","RFM95W-915S2","HOPERF_RFM9XW_SMD",130.984590,-110.382931,90.000000,top
"U7","LD1117S50TR_SOT223","SOT-223-3_TabPin2",55.134590,-70.582931,180.000000,top
