"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"S2,S1";"SW_TS04-66-70-BK-160-SMT";2;"TS04-66-70-BK-160-SMT";;;
2;"TP3,TP2,TP1";"PinHeader_1x01_P2.54mm_Vertical";3;"TestPoint";;;
3;"M2,M1";"PinHeader_1x03_P2.54mm_Vertical";2;"Motor_Servo";;;
4;"U2";"LGA-8_3x5mm_P1.25mm";1;"MS5607-02BA";;;
5;"J1,J2";"TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal";2;"Screw_Terminal_01x02";;;
6;"C8,C7,C10,C3";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";4;"10uF";;;
7;"BZ1";"MagneticBuzzer_PUI_AT-0927-TT-6-R";1;"Buzzer";;;
8;"R10,R11,R9";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";3;"150";;;
9;"Q2,Q3";"SOT-23";2;"MMBT3904";;;
10;"R15,R8,R7";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";3;"4.7k";;;
11;"Q1";"SOIC127P600X175-8N";1;"SI4925DDY-T1-GE3";;;
12;"C4,C5,C1";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";3;"0.1uF";;;
13;"U6";"HOPERF_RFM9XW_SMD";1;"RFM95W-915S2";;;
14;"C6";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"100nF";;;
15;"IC1";"PQFN50P450X300X100-16N";1;"MMC5983MA";;;
16;"D2,D1,D3";"LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder";3;"LED";;;
17;"R2,R4";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";2;"1K";;;
18;"U1";"Teensy41";1;"Teensy4.1";;;
19;"J9,J8";"SMA_Amphenol_132134-10_Vertical";2;"Conn_Coaxial";;;
20;"J7,J6";"Molex_SL_171971-0024_1x24_P2.54mm_Vertical";2;"Conn_01x24";;;
21;"R14";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"1.2k";;;
22;"R1,R3";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";2;"10K";;;
23;"U4";"TO-252-5_TabPin3";1;"MIC29302AWD";;;
24;"J5";"JST_XA_B02B-XASK-1-A_1x02_P2.50mm_Vertical";1;"Conn_01x02";;;
25;"C2";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"1uF";;;
26;"U3";"PQFN50P450X300X100-16N";1;"BMI088";;;
27;"U5";"ublox_MAX";1;"MAX-M10S";;;
28;"C9";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"22uF";;;
29;"U7";"SOT-223-3_TabPin2";1;"LD1117S50TR_SOT223";;;
