Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Height,Mouser Price/Stock,Manufacturer,PARTREV,MANUFACTURER,STANDARD,PURCHASE-URL,PRICE,AVAILABILITY,DESCRIPTION
BZ1,1,Buzzer,MagneticBuzzer_PUI_AT-0927-TT-6-R,,,,tht,"Buzzer, polarized",,,,,,,,,,
"C1, C4, C5",3,0.1uF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,,,smt,Unpolarized capacitor,,,,,,,,,,
"C10, C3, C7, C8",4,10uF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,,,smt,Unpolarized capacitor,,,,,,,,,,
C2,1,1uF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,,,smt,Unpolarized capacitor,,,,,,,,,,
C6,1,100nF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,,,smt,Unpolarized capacitor,,,,,,,,,,
C9,1,22uF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,,,smt,Unpolarized capacitor,,,,,,,,,,
"D1, D2, D3",3,LED,LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,,,smt,Light emitting diode,,,,,,,,,,
IC1,1,MMC5983MA,MMC5983MA_MEM,16-VFLGA,MMC5983MA,,smt,3-AXIS MAGNETIC SENSOR,1,https://www.mouser.co.uk/ProductDetail/MEMSIC/MMC5983MA?qs=B6kkDfuK7%2FD5qasHMdEt2g%3D%3D,MEMSIC,,,,,,,
"J1, J2",2,Screw_Terminal_01x02,TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal,,,,tht,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,
J5,1,Conn_01x02,JST_XA_B02B-XASK-1-A_1x02_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,
"J6, J7",2,Conn_01x24,Molex_SL_171971-0024_1x24_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x24, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,
"J8, J9",2,Conn_Coaxial,SMA_Amphenol_132134-10_Vertical,,,,smt,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",,,,,,,,,,
"M1, M2",2,Motor_Servo,PinHeader_1x03_P2.54mm_Vertical,,,,tht,"Servo Motor (Futaba, HiTec, JR connector)",,,,,,,,,,
Q1,1,SI4925DDY-T1-GE3,SOIC127P600X175-8N,"8-SOIC (0.154"", 3.90mm Width)",SI4925DDY-T1-GE3,,smt,"Vishay SI4925DDY-T1-GE3 Dual P-channel MOSFET Transistor, 8 A, 30 V, 8-Pin SOIC",1.75,https://www.mouser.co.uk/ProductDetail/Vishay-Semiconductors/SI4925DDY-T1-GE3?qs=ru2xu5lizsDqm0sSdBYmQg%3D%3D,Vishay Siliconix,,,,,,,
"Q2, Q3",2,MMBT3904,SOT-23,,,,smt,"0.2A Ic, 40V Vce, Small Signal NPN Transistor, SOT-23",,,,,,,,,,
"R1, R3",2,10K,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,,,smt,Resistor,,,,,,,,,,
"R10, R11, R9",3,150,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,,,smt,Resistor,,,,,,,,,,
R14,1,1.2k,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,,,smt,Resistor,,,,,,,,,,
"R15, R7, R8",3,4.7k,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,,,smt,Resistor,,,,,,,,,,
"R2, R4",2,1K,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,,,smt,Resistor,,,,,,,,,,
S1,1,TS04-66-70-BK-160-SMT,SW_TS04-66-70-BK-160-SMT,,,,smt,,,,,1.0,CUI Devices,Manufacturer Recommendations,,,,
S2,1,TS04-66-70-BK-160-SMT,SW_TS04-66-70-BK-160-SMT,Gull Wing,TS04-66-70-BK-160-SMT,,smt,SWITCH TACTILE SPST-NO 0.05A 12V,,,Same Sky (Formerly CUI Devices),1.0,,Manufacturer Recommendations,,,,
"TP1, TP2, TP3",3,TestPoint,PinHeader_1x01_P2.54mm_Vertical,,,,tht,test point,,,,,,,,,,
U1,1,Teensy4.1,Teensy41,,,Yes,tht,,,,,,,,,,,
U2,1,MS5607-02BA,LGA-8_3x5mm_P1.25mm,8-SMD,MS560702BA03-50,,smt,"Barometric pressure sensor, 20cm resolution, 10 to 1200 mbar, I2C and SPI interface up to 20MHz, LGA-8",,,TE Connectivity Measurement Specialties,,,,,,,
U3,1,BMI088,PQFN50P450X300X100-16N,16-VFLGA Module,BMI088,,smt,"Accelerometer, Gyroscope, 6 Axis Sensor I²C, SPI Output",,,Bosch Sensortec,,,,https://pricing.snapeda.com/search/part/BMI088/?ref=eda,None,In Stock,"Accelerometer, Gyroscope, 6 Axis Sensor I²C, SPI Output"
U4,1,MIC29302AWD,TO-252-5_TabPin3,"TO-252-6, DPAK (5 Leads + Tab)",MIC29302AWD-TR,,smt,"3A low dropout linear regulator, shutdown pin, 3V to 16V input voltage, 1.24V to 15V adjustable output, TO-252",,,Microchip Technology,,,,,,,
