pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
118.5,-77.75,0.0,top,BZ1,AT-0927-TT-6-R,THT,MagneticBuzzer_PUI_AT-0927-TT-6-R,Buzzer,tht
87.75,-115.6575,90.0,top,C1,,,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,0.1uF,smt
129.25,-99.25,180.0,top,C10,,,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,10uF,smt
78.5,-111.25,0.0,top,C2,,,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,1uF,smt
80.5,-111.25,0.0,top,C3,,,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,10uF,smt
94.415,-113.25,90.0,top,C4,,,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,0.1uF,smt
93.665,-113.25,90.0,top,C5,,,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,0.1uF,smt
73.25,-68.75,90.0,top,C6,,,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,100nF,smt
57.8425,-74.75,0.0,top,C7,,,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,10uF,smt
74.25,-68.75,90.0,top,C8,,,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,10uF,smt
78.5925,-72.0,180.0,top,C9,,,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,22uF,smt
70.75,-115.625,90.0,top,D1,,,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,LED,smt
68.25,-115.625,90.0,top,D2,,,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,LED,smt
65.75,-115.625,90.0,top,D3,,,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,LED,smt
79.475001,-113.75,90.0,top,IC1,MMC5983MA,16-VFLGA,MMC5983MA_MEM,MMC5983MA,smt
114.25,-63.75,0.0,top,J1,282834-2,THT,TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal,Screw_Terminal_01x02,tht
