Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,MagneticBuzzer_PUI_AT-0927-TT-6-R,1,Buzzer,AT-0927-TT-6-R
"C1, C4, C5",0402,3,0.1uF,
"C10, C7, C8",0603,3,10uF,
C11,0402,1,100nF,
C2,0402,1,220nF,
C3,0402,1,10uF,
C6,0603,1,100nF,
C9,0603,1,22uF,
"D1, D2, D3",0603,3,LED,
"J1, J2",TE_282837-2,2,282837-2,
"J10, J11",PinHeader_1x01_P2.54mm_Vertical,2,Conn_01x01,
"J12, J13",U.FL_Hirose_U.FL-R-SMT-1_Vertical,2,Conn_Coaxial,
"J3, J4",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
J5,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02,
"J6, J7",Molex_SL_171971-0024_1x24_P2.54mm_Vertical,2,Conn_01x24,
"J8, J9",SMA_Amphenol_132134-10_Vertical,2,Conn_Coaxial,132134
"M1, M2",PinHeader_1x03_P2.54mm_Vertical,2,Motor_Servo,
Q1,SOIC127P600X175-8N,1,SI4925DDY-T1-GE3,SI4925DDY-T1-GE3
Q2,SOT-23,1,MMBT3904,MMBT3904LT3G
Q3,SOT-23,1,MMBT3904,
"R1, R3",0603,2,10K,
"R10, R11, R9",0603,3,150,
R14,0603,1,1.2k,
"R15, R7, R8",0603,3,4.7k,
"R2, R4",0603,2,1K,
"S1, S2",SW_KMR221GLFS,2,KMR221GLFS,
"TP1, TP4, TP5, TP6, TP7",TestPoint_Pad_1.0x1.0mm,5,TestPoint,
"TP2, TP3",PinHeader_1x01_P2.54mm_Vertical,2,TestPoint,
U1,Teensy41,1,Teensy4.1,
U2,LGA-8_3x5mm_P1.25mm,1,MS5607-02BA,MS560702BA03-50
U3,PQFN50P450X300X100-16N,1,BMI088,BMI088
U5,ublox_MAX,1,MAX-M10S,MAX-M10S-00B
U6,HOPERF_RFM9XW_SMD,1,RFM95W-915S2,RFM95W-915S2
U7,SOT-223-3_TabPin2,1,LD1117S50TR_SOT223,LD1117S50TR
U8,PQFN50P200X200X70-12N,1,LIS2MDLTR,
U9,TO-252-5_MCH,1,MIC29302AWD-TR,
