Designator,Mid X,Mid Y,Rotation,Layer
C1,87.75,-115.6575,90.0,top
C10,129.0,-99.25,180.0,top
C11,79.75,-117.25,180.0,top
C2,77.5,-114.0,270.0,top
C3,79.75,-116.25,180.0,top
C4,95.0,-113.25,90.0,top
C5,93.75,-113.25,90.0,top
C6,69.75,-66.0,90.0,top
C7,57.5,-75.0,0.0,top
C8,71.5,-66.0,90.0,top
C9,81.5,-65.3875,90.0,top
D1,70.75,-115.625,90.0,top
D2,68.25,-115.625,90.0,top
D3,65.75,-115.625,90.0,top
J1,118.96,-65.0,180.0,top
J12,142.525,-78.5,0.0,top
J13,142.75,-110.5,0.0,top
J2,132.75,-65.0,180.0,top
J5,64.25,-67.2,0.0,top
J8,122.5,-79.75,90.0,top
J9,114.5,-114.5,90.0,top
Q1,105.25,-68.9,0.0,top
Q2,103.5,-64.15,0.0,top
Q3,103.5625,-73.7,0.0,top
R1,100.25,-67.9,270.0,top
R10,68.25,-111.9125,270.0,top
R11,65.75,-111.9125,270.0,top
R14,83.25,-70.5875,90.0,top
R15,81.25,-70.5875,90.0,top
R2,106.25,-64.15,90.0,top
R3,100.25,-71.4,270.0,top
R4,99.75,-74.75,0.0,top
R7,132.75,-71.0,180.0,top
R8,129.25,-71.0,0.0,top
R9,70.75,-111.9125,270.0,top
S1,99.5,-114.75,270.0,top
S2,105.25,-114.7,270.0,top
U2,85.28459,-114.382931,180.0,top
U3,91.415,-114.165,270.0,top
U5,133.95,-77.948341,90.0,top
U6,130.98459,-110.382931,90.0,top
U7,55.13459,-70.582931,0.0,top
U8,79.5,-114.25,270.0,top
U9,76.71,-65.488,0.0,top
