Update symbol IC1 from 'HPRsymbols:MMC5983MA' to 'HPRsymbols:MMC5983MA': OK
Update symbol #PWR010 from 'power:GND' to 'power:GND': OK
Update symbol H1 from 'Mechanical:MountingHole_Pad' to 'Mechanical:MountingHole_Pad': OK
Update symbol #PWR021 from 'power:GND' to 'power:GND': OK
Update symbol C2 from 'Device:C' to 'Device:C': OK
Update symbol R5 from 'Device:R' to 'Device:R': OK
Update symbol #PWR07 from 'power:GND' to 'power:GND': OK
Update symbol H2 from 'Mechanical:MountingHole_Pad' to 'Mechanical:MountingHole_Pad': OK
Update symbol R1 from 'Device:R' to 'Device:R': OK
Update symbol C4 from 'Device:C' to 'Device:C': OK
Update symbol #PWR013 from 'power:GND' to 'power:GND': OK
Update symbol U5 from 'RF_GPS:MAX-M10S' to 'RF_GPS:MAX-M10S': OK
Update symbol C8 from 'Device:C' to 'Device:C': OK
Update symbol R11 from 'Device:R' to 'Device:R': OK
Update symbol #PWR018 from 'power:GND' to 'power:GND': OK
Update symbol M2 from 'Motor:Motor_Servo' to 'Motor:Motor_Servo': OK
Update symbol J5 from 'Connector_Generic:Conn_01x02' to 'Connector_Generic:Conn_01x02': OK
Update symbol U3 from 'HPRsymbols:BMI088' to 'HPRsymbols:BMI088': OK
Update symbol #PWR017 from 'power:GND' to 'power:GND': OK
Update symbol U1 from 'HPRsymbols:Teensy4.1' to 'HPRsymbols:Teensy4.1': OK
Update symbol Q3 from 'Transistor_BJT:MMBT3904' to 'Transistor_BJT:MMBT3904': OK
Update symbol #PWR024 from 'power:GND' to 'power:GND': OK
Update symbol AE1 from 'Device:Antenna' to 'Device:Antenna': OK
Update symbol #PWR05 from 'power:GND' to 'power:GND': OK
Update symbol U2 from 'Sensor_Pressure:MS5607-02BA' to 'Sensor_Pressure:MS5607-02BA': OK
Update symbol #PWR015 from 'power:GND' to 'power:GND': OK
Update symbol #PWR020 from 'power:GND' to 'power:GND': OK
Update symbol #PWR03 from 'power:GND' to 'power:GND': OK
Update symbol J3 from 'Connector_Generic:Conn_01x12' to 'Connector_Generic:Conn_01x12': OK
Update symbol C7 from 'Device:C' to 'Device:C': OK
Update symbol Q2 from 'Transistor_BJT:MMBT3904' to 'Transistor_BJT:MMBT3904': OK
Update symbol Q1 from 'HPRsymbols:SI4925DDY-T1-GE3' to 'HPRsymbols:SI4925DDY-T1-GE3': OK
Update symbol R7 from 'Device:R' to 'Device:R': OK
Update symbol R3 from 'Device:R' to 'Device:R': OK
Update symbol H3 from 'Mechanical:MountingHole_Pad' to 'Mechanical:MountingHole_Pad': OK
Update symbol J1 from 'Connector:Screw_Terminal_01x02' to 'Connector:Screw_Terminal_01x02': OK
Update symbol #PWR023 from 'power:GND' to 'power:GND': OK
Update symbol #PWR016 from 'power:GND' to 'power:GND': OK
Update symbol #PWR06 from 'power:GND' to 'power:GND': OK
Update symbol U7 from 'Regulator_Linear:LD1117S50TR_SOT223' to 'Regulator_Linear:LD1117S50TR_SOT223': OK
Update symbol R4 from 'Device:R' to 'Device:R': OK
Update symbol #PWR08 from 'power:GND' to 'power:GND': OK
Update symbol D1 from 'Device:LED' to 'Device:LED': OK
Update symbol R6 from 'Device:R' to 'Device:R': OK
Update symbol R9 from 'Device:R' to 'Device:R': OK
Update symbol #PWR04 from 'power:GND' to 'power:GND': OK
Update symbol #PWR09 from 'power:GND' to 'power:GND': OK
Update symbol SW1 from 'Switch:SW_MEC_5G' to 'Switch:SW_MEC_5G': OK
Update symbol #PWR014 from 'power:GND' to 'power:GND': OK
Update symbol C3 from 'Device:C' to 'Device:C': OK
Update symbol U4 from 'Regulator_Linear:MIC29302AWD' to 'Regulator_Linear:MIC29302AWD': OK
Update symbol #PWR011 from 'power:GND' to 'power:GND': OK
Update symbol C1 from 'Device:C' to 'Device:C': OK
Update symbol R15 from 'Device:R' to 'Device:R': OK
Update symbol H4 from 'Mechanical:MountingHole_Pad' to 'Mechanical:MountingHole_Pad': OK
Update symbol R2 from 'Device:R' to 'Device:R': OK
Update symbol J2 from 'Connector:Screw_Terminal_01x02' to 'Connector:Screw_Terminal_01x02': OK
Update symbol M1 from 'Motor:Motor_Servo' to 'Motor:Motor_Servo': OK
Update symbol D3 from 'Device:LED' to 'Device:LED': OK
Update symbol R10 from 'Device:R' to 'Device:R': OK
Update symbol C9 from 'Device:C' to 'Device:C': OK
Update symbol C5 from 'Device:C' to 'Device:C': OK
Update symbol #PWR019 from 'power:GND' to 'power:GND': OK
Update symbol #PWR02 from 'power:GND' to 'power:GND': OK
Update symbol #PWR012 from 'power:GND' to 'power:GND': OK
Update symbol #PWR01 from 'power:GND' to 'power:GND': OK
Update symbol #PWR022 from 'power:GND' to 'power:GND': OK
Update symbol J7 from 'Connector_Generic:Conn_01x24' to 'Connector_Generic:Conn_01x24': OK
Update symbol D2 from 'Device:LED' to 'Device:LED': OK
Update symbol J6 from 'Connector_Generic:Conn_01x24' to 'Connector_Generic:Conn_01x24': OK
Update symbol R8 from 'Device:R' to 'Device:R': OK
Update symbol R14 from 'Device:R' to 'Device:R': OK
Update symbol J4 from 'Connector_Generic:Conn_01x12' to 'Connector_Generic:Conn_01x12': OK
Update symbol C6 from 'Device:C' to 'Device:C': OK
Update symbol BZ1 from 'Device:Buzzer' to 'Device:Buzzer': OK
